epoch,loss,validation accuracy,best validation accuracy
0,2.3024,10.0649,10.064935
1,2.3021,10.349,10.349026
2,2.3021,10.1461,10.349026
3,2.3023,10.1461,10.349026
4,2.3016,10.1461,10.349026
5,2.3014,10.1461,10.349026
6,2.3015,10.1461,10.349026
7,2.3018,10.1461,10.349026
8,2.3023,10.1461,10.349026
9,2.3029,10.1461,10.349026
10,2.3032,10.1461,10.349026
11,2.3043,10.1461,10.349026
12,2.3055,10.1461,10.349026
13,2.3056,10.1461,10.349026
14,2.3063,10.207,10.349026
15,2.3069,10.3693,10.369318
16,2.3039,12.3782,12.378247
17,2.2975,11.7695,12.378247
18,2.2971,11.9318,12.378247
19,2.2999,10.5317,12.378247
20,2.3336,9.5779,12.378247
21,2.3093,10.9172,12.378247
22,2.6773,9.5982,12.378247
23,2.6242,10.1461,12.378247
24,2.5085,8.5227,12.378247
25,2.4131,14.2248,14.224838
26,2.3662,16.3352,16.335227
27,2.3929,14.0219,16.335227
28,2.489,10.4099,16.335227
29,6.2084,10.0244,16.335227
30,3.4485,10.1461,16.335227
31,3.2334,10.1461,16.335227
32,3.1052,10.1461,16.335227
33,3.0362,10.1461,16.335227
34,2.9972,10.1461,16.335227
35,2.9529,10.1461,16.335227
36,2.9155,10.207,16.335227
37,2.8733,10.4505,16.335227
38,2.8235,11.2216,16.335227
39,2.7758,12.3174,16.335227
40,2.7289,11.0795,16.335227
41,2.6742,12.6623,16.335227
42,2.6601,11.6883,16.335227
43,2.6325,10.1258,16.335227
44,2.9387,9.8011,16.335227
45,2.7889,10.1461,16.335227
46,2.5764,9.862,16.335227
47,2.4572,10.3084,16.335227
48,2.412,10.3084,16.335227
49,2.369,10.3084,16.335227
50,2.3449,8.5633,16.335227
51,2.3224,10.3084,16.335227
52,2.3148,8.6851,16.335227
53,2.3052,8.0154,16.335227
54,2.3028,6.9602,16.335227
55,2.3002,8.2589,16.335227
56,2.2958,9.3547,16.335227
57,2.2941,9.03,16.335227
58,2.2944,8.9083,16.335227
59,2.2899,13.332,16.335227
60,2.3014,8.5836,16.335227
61,2.2926,16.112,16.335227
62,2.3295,9.6591,16.335227
63,2.3031,15.3409,16.335227
64,2.3273,9.2127,16.335227
65,2.3026,15.6656,16.335227
66,2.3334,9.2127,16.335227
67,2.2979,15.28,16.335227
68,2.3207,9.1315,16.335227
69,2.3083,15.5844,16.335227
70,2.3768,9.8011,16.335227
71,2.3268,15.4018,16.335227
72,2.3394,9.233,16.335227
73,2.3051,15.5032,16.335227
74,2.3375,9.1721,16.335227
75,2.3248,15.4424,16.335227
76,2.4229,9.8011,16.335227
77,2.3427,14.7119,16.335227
78,2.3502,9.0706,16.335227
79,2.3143,15.8685,16.335227
80,2.3789,9.8011,16.335227
81,2.3666,14.2248,16.335227
82,2.5118,9.8011,16.335227
83,2.3979,14.0828,16.335227
84,2.412,9.1315,16.335227
85,2.3302,15.138,16.335227
86,2.384,9.8011,16.335227
87,2.3953,12.2159,16.335227
88,2.6583,9.8011,16.335227
89,2.4581,10.3084,16.335227
90,2.3924,7.8734,16.335227
91,2.3609,14.7321,16.335227
92,2.5242,9.8011,16.335227
93,2.5216,10.1664,16.335227
94,2.7358,9.8011,16.335227
95,2.4706,10.3084,16.335227
96,2.367,9.4765,16.335227
97,2.3985,10.207,16.335227
98,2.8529,9.8011,16.335227
99,2.6941,10.4708,16.335227
100,2.5953,9.862,16.335227
101,2.4441,11.0795,16.335227
102,2.5624,9.8011,16.335227
103,2.6283,10.1461,16.335227
104,3.12,9.8011,16.335227
105,2.7244,10.3084,16.335227
106,2.3395,9.8214,16.335227
107,2.4012,10.1461,16.335227
108,3.0348,9.8011,16.335227
109,2.7758,10.7955,16.335227
110,2.5902,9.862,16.335227
111,2.4884,15.9497,16.335227
112,3.103,9.8011,16.335227
113,2.8983,11.4245,16.335227
114,2.9326,9.862,16.335227
115,2.5435,10.3084,16.335227
116,2.5038,9.8011,16.335227
117,3.0156,10.1461,16.335227
118,3.6683,9.8011,16.335227
119,3.1872,10.3084,16.335227
